Timestamp,Traded Instrument,Traded Side,Traded Price,Traded Volume
21:08:54,ESX-FUTURE,BID,3011.0,353
21:08:54,SP-FUTURE,ASK,3066.0,26
21:08:55,SP-FUTURE,BID,3066.0,834
21:08:56,ESX-FUTURE,ASK,3011.0,535
21:08:56,SP-FUTURE,BID,3066.0,1082
21:08:57,ESX-FUTURE,ASK,3011.0,243
21:08:57,SP-FUTURE,BID,3067.0,322
21:08:57,ESX-FUTURE,BID,3010.0,2382
21:08:57,SP-FUTURE,BID,3065.0,259
21:08:58,SP-FUTURE,BID,3065.0,25
21:08:58,ESX-FUTURE,BID,3010.0,674
21:08:59,ESX-FUTURE,BID,3010.0,653
21:09:00,SP-FUTURE,BID,3064.0,762
21:09:00,ESX-FUTURE,ASK,3010.0,491
21:09:01,SP-FUTURE,BID,3064.0,746
21:09:01,ESX-FUTURE,BID,3009.0,1114
21:09:02,SP-FUTURE,ASK,3064.0,1498
21:09:02,ESX-FUTURE,ASK,3010.0,580
21:09:03,ESX-FUTURE,ASK,3010.0,388
21:09:03,SP-FUTURE,ASK,3064.0,365
21:09:03,SP-FUTURE,ASK,3064.0,23
21:09:04,ESX-FUTURE,BID,3010.0,1447
21:09:05,SP-FUTURE,BID,3063.0,388
21:09:05,ESX-FUTURE,ASK,3010.0,806
21:09:06,ESX-FUTURE,BID,3010.0,27
21:09:06,SP-FUTURE,BID,3063.0,733
21:09:06,SP-FUTURE,ASK,3063.0,531
21:09:07,ESX-FUTURE,BID,3010.0,951
21:09:07,SP-FUTURE,ASK,3063.0,2
21:09:08,ESX-FUTURE,ASK,3010.0,62
21:09:08,SP-FUTURE,ASK,3063.0,67
21:09:09,ESX-FUTURE,BID,3010.0,184
21:09:10,ESX-FUTURE,BID,3010.0,1810
21:09:11,SP-FUTURE,ASK,3063.0,287
21:09:11,SP-FUTURE,BID,3063.0,99
21:09:12,ESX-FUTURE,BID,3010.0,1058
21:09:12,SP-FUTURE,ASK,3063.0,1158
21:09:12,SP-FUTURE,BID,3062.0,330
21:09:13,ESX-FUTURE,ASK,3010.0,1762
21:09:13,SP-FUTURE,BID,3062.0,1332
21:09:13,ESX-FUTURE,BID,3010.0,210
21:09:14,ESX-FUTURE,BID,3010.0,35
21:09:14,SP-FUTURE,BID,3062.0,609
21:09:15,ESX-FUTURE,ASK,3010.0,1009
21:09:15,SP-FUTURE,ASK,3063.0,1210
21:09:16,ESX-FUTURE,BID,3010.0,238
21:09:17,SP-FUTURE,ASK,3063.0,500
21:09:17,ESX-FUTURE,ASK,3010.0,1181
21:09:18,ESX-FUTURE,BID,3010.0,175
21:09:18,SP-FUTURE,ASK,3063.0,109
21:09:18,SP-FUTURE,ASK,3063.0,45
21:09:19,ESX-FUTURE,ASK,3010.0,1646
21:09:19,ESX-FUTURE,BID,3010.0,857
21:09:20,ESX-FUTURE,BID,3010.0,20
21:09:20,SP-FUTURE,ASK,3065.0,1964
21:09:21,ESX-FUTURE,ASK,3011.0,1811
21:09:21,SP-FUTURE,ASK,3067.0,364
21:09:22,ESX-FUTURE,ASK,3011.0,252
21:09:22,SP-FUTURE,BID,3066.0,527
21:09:23,SP-FUTURE,BID,3066.0,509
21:09:23,ESX-FUTURE,BID,3011.0,343
21:09:24,ESX-FUTURE,ASK,3011.0,503
21:09:24,ESX-FUTURE,BID,3011.0,576
21:09:27,SP-FUTURE,BID,3066.0,352
21:09:27,ESX-FUTURE,BID,3010.0,366
21:09:27,ESX-FUTURE,BID,3010.0,563
21:09:27,SP-FUTURE,BID,3066.0,1816
21:09:27,ESX-FUTURE,ASK,3009.0,714
21:09:27,SP-FUTURE,ASK,3067.0,1425
21:09:27,ESX-FUTURE,BID,3008.0,870
21:09:27,ESX-FUTURE,BID,3008.0,728
21:09:28,SP-FUTURE,BID,3066.0,57
21:09:28,ESX-FUTURE,ASK,3009.0,201
21:09:29,SP-FUTURE,ASK,3066.0,1141
21:09:29,ESX-FUTURE,ASK,3009.0,225
21:09:29,SP-FUTURE,BID,3066.0,314
21:09:30,ESX-FUTURE,ASK,3009.0,131
21:09:30,ESX-FUTURE,BID,3009.0,1316
21:09:31,SP-FUTURE,ASK,3065.0,41
21:09:31,ESX-FUTURE,ASK,3009.0,215
21:09:31,SP-FUTURE,BID,3065.0,19
21:09:32,SP-FUTURE,ASK,3065.0,592
21:09:33,SP-FUTURE,BID,3065.0,808
21:09:33,ESX-FUTURE,BID,3009.0,889
21:09:34,ESX-FUTURE,ASK,3009.0,677
21:09:35,SP-FUTURE,BID,3065.0,305
21:09:35,ESX-FUTURE,ASK,3009.0,1301
21:09:35,SP-FUTURE,BID,3065.0,224
21:09:36,ESX-FUTURE,BID,3009.0,2724
21:09:37,SP-FUTURE,BID,3061.0,4
21:09:37,ESX-FUTURE,BID,3009.0,1503
21:09:38,SP-FUTURE,BID,3061.0,307
21:09:38,SP-FUTURE,BID,3061.0,114
21:09:38,ESX-FUTURE,BID,3009.0,158
21:09:39,ESX-FUTURE,BID,3009.0,856
21:09:39,SP-FUTURE,ASK,3061.0,25
21:09:39,ESX-FUTURE,BID,3009.0,1187
21:09:40,ESX-FUTURE,BID,3009.0,750
21:09:40,ESX-FUTURE,BID,3009.0,903
21:09:41,SP-FUTURE,BID,3058.0,1291
21:09:41,ESX-FUTURE,BID,3007.0,14
21:09:41,SP-FUTURE,ASK,3059.0,62
21:09:42,SP-FUTURE,ASK,3059.0,312
21:09:42,SP-FUTURE,ASK,3059.0,8
21:09:43,ESX-FUTURE,ASK,3008.0,1184
21:09:43,SP-FUTURE,ASK,3060.0,547
21:09:44,SP-FUTURE,ASK,3060.0,555
21:09:44,ESX-FUTURE,BID,3008.0,628
21:09:45,ESX-FUTURE,ASK,3008.0,1712
21:09:45,SP-FUTURE,BID,3061.0,110
21:09:46,SP-FUTURE,ASK,3061.0,225
21:09:46,ESX-FUTURE,ASK,3008.0,333
21:09:46,ESX-FUTURE,ASK,3008.0,136
21:09:47,SP-FUTURE,BID,3061.0,466
21:09:48,ESX-FUTURE,ASK,3008.0,1488
21:09:48,ESX-FUTURE,ASK,3008.0,426
21:09:48,SP-FUTURE,ASK,3062.0,759
21:09:49,SP-FUTURE,ASK,3062.0,1239
21:09:49,SP-FUTURE,BID,3062.0,71
21:09:49,ESX-FUTURE,BID,3008.0,1513
21:09:50,SP-FUTURE,BID,3060.0,526
21:09:50,ESX-FUTURE,ASK,3008.0,838
21:09:51,SP-FUTURE,ASK,3061.0,521
21:09:51,SP-FUTURE,ASK,3061.0,915
21:09:52,ESX-FUTURE,ASK,3009.0,1226
21:09:52,ESX-FUTURE,BID,3009.0,44
21:09:52,SP-FUTURE,ASK,3061.0,4
21:09:52,SP-FUTURE,BID,3061.0,2803
21:09:53,ESX-FUTURE,BID,3005.0,696
21:09:53,SP-FUTURE,ASK,3061.0,650
21:09:55,SP-FUTURE,ASK,3061.0,2323
21:09:55,ESX-FUTURE,ASK,3006.0,268
21:09:56,SP-FUTURE,BID,3061.0,219
21:09:56,ESX-FUTURE,ASK,3006.0,149
21:09:57,ESX-FUTURE,BID,3006.0,1539
21:09:57,SP-FUTURE,ASK,3061.0,90
21:09:57,ESX-FUTURE,BID,3006.0,1045
21:09:59,ESX-FUTURE,ASK,3006.0,11
21:09:59,SP-FUTURE,BID,3061.0,82
21:09:59,SP-FUTURE,BID,3061.0,379
21:10:00,ESX-FUTURE,BID,3006.0,604
21:10:00,SP-FUTURE,ASK,3061.0,1349
21:10:00,ESX-FUTURE,ASK,3007.0,7
21:10:01,SP-FUTURE,BID,3061.0,386
21:10:01,SP-FUTURE,ASK,3061.0,769
21:10:02,SP-FUTURE,BID,3061.0,1098
21:10:02,ESX-FUTURE,BID,3006.0,1254
